title,country,country_name,iso,count
Cecelia_Ahern,/m/03rt9,Republic of Ireland,IRL,80
Sheikh_Hasina,/m/0162b,Bangladesh,BGD,17
Aung_San_Suu_Kyi,/m/04xn_,Myanmar,MMR,175
Inguna_Butane,/m/04g5k,Latvia,LVA,6
Samira_Said,/m/04wgh,Morocco,MAR,6
Ivy_Dumont,/m/0160w,Bahamas,BHS,1
Sappho,/m/035qy,Greece,GRC,697
Laura_Pausini,/m/03rjj,Italy,ITA,1536
Julia_de_Burgos,/m/05r7t,Puerto Rico,PRI,92
Ranavalona_I,/m/04sj3,Madagascar,MDG,7
Anna_German,/m/07t_x,Uzbekistan,UZB,49
Leila_Lopes,/m/0j4b,Angola,AGO,20
